"filename", "language", "JSON", "JavaScript", "Markdown", "YAML", "JavaScript JSX", "MS SQL", "HTML", "CSS", "Properties", "comment", "blank", "total"
"c:\Ministerra\backend\modules\foundation\userSync.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 0, 0, 37, 21, 175
"c:\Ministerra\backend\modules\foundation\utils.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 21, 11, 62
"c:\Ministerra\backend\modules\gallery.js", "JavaScript", 0, -65, 0, 0, 0, 0, 0, 0, 0, -6, -1, -72
"c:\Ministerra\backend\modules\images.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 15, 4, 27
"c:\Ministerra\backend\modules\interests.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 7
"c:\Ministerra\backend\modules\invites.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 10, 0, 32
"c:\Ministerra\backend\modules\jwtokens.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 62, 14, 99
"c:\Ministerra\backend\modules\locations.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 1, 8
"c:\Ministerra\backend\modules\mailing.js", "JavaScript", 0, -17, 0, 0, 0, 0, 0, 0, 0, 6, 2, -9
"c:\Ministerra\backend\modules\rating.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 2, 10
"c:\Ministerra\backend\modules\report.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Ministerra\backend\modules\search.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 16, 5, 24
"c:\Ministerra\backend\modules\setup\index.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 3, 22
"c:\Ministerra\backend\modules\setup\sanitize.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2
"c:\Ministerra\backend\modules\user.js", "JavaScript", 0, -81, 0, 0, 0, 0, 0, 0, 0, 8, -4, -77
"c:\Ministerra\backend\otel.js", "JavaScript", 0, -2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0
"c:\Ministerra\backend\package-lock.json", "JSON", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199
"c:\Ministerra\backend\package.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Ministerra\backend\router.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 20
"c:\Ministerra\backend\scripts\log-viewer.js", "JavaScript", 0, 116, 0, 0, 0, 0, 0, 0, 0, 10, 31, 157
"c:\Ministerra\backend\startup\config.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 20, 7, 66
"c:\Ministerra\backend\startup\metrics.js", "JavaScript", 0, 161, 0, 0, 0, 0, 0, 0, 0, 38, 19, 218
"c:\Ministerra\backend\startup\middleware.js", "JavaScript", 0, 248, 0, 0, 0, 0, 0, 0, 0, 50, 24, 322
"c:\Ministerra\backend\systems\handlers\cacher.js", "JavaScript", 0, -36, 0, 0, 0, 0, 0, 0, 0, 21, -8, -23
"c:\Ministerra\backend\systems\handlers\catcher.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 19, 3, 27
"c:\Ministerra\backend\systems\handlers\circuitBreaker.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 61, 6, 92
"c:\Ministerra\backend\systems\handlers\emitter.js", "JavaScript", 0, -200, 0, 0, 0, 0, 0, 0, 0, 20, -20, -200
"c:\Ministerra\backend\systems\handlers\loggers.js", "JavaScript", 0, 263, 0, 0, 0, 0, 0, 0, 0, 67, 41, 371
"c:\Ministerra\backend\systems\handlers\querer.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 24, 11, 85
"c:\Ministerra\backend\systems\handlers\streamUtils.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 15, 0, 21
"c:\Ministerra\backend\systems\handlers\streamer.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 27, 4, 41
"c:\Ministerra\backend\systems\handlers\writer.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 8, 3, 53
"c:\Ministerra\backend\systems\kafka\manager.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 4
"c:\Ministerra\backend\systems\mysql\mysql.js", "JavaScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 366, 12, 490
"c:\Ministerra\backend\systems\redis\master.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 2, 14
"c:\Ministerra\backend\systems\redis\redis.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 47, 5, 102
"c:\Ministerra\backend\systems\redis\sentinel1.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, -4, 1, -4, -7
"c:\Ministerra\backend\systems\redis\sentinel2.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, -5, 1, -2, -6
"c:\Ministerra\backend\systems\redis\sentinel3.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, -5, 1, 0, -4
"c:\Ministerra\backend\systems\redis\slave.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 2, 9
